Grid_ID,Center_Lng,Center_Lat,Polygon,充电站_数量,住宅小区_数量,写字楼_数量,购物中心_数量,餐饮服务_数量,住宿服务_数量,医疗保健_数量,科教文化_数量,政府机构_数量,体育休闲_数量,交通枢纽_数量,停车场_数量
1,112.455,37.755,"112.450000,37.750000|112.460000,37.760000",0,0,0,0,0,0,0,0,2,0,0,0
5,112.455,37.795,"112.450000,37.790000|112.460000,37.800000",0,0,0,0,0,0,0,0,1,0,0,0
6,112.455,37.805,"112.450000,37.800000|112.460000,37.810000",0,0,0,0,0,0,0,0,0,0,0,1
7,112.455,37.815,"112.450000,37.810000|112.460000,37.820000",0,0,0,0,0,0,0,0,0,0,0,1
8,112.455,37.825,"112.450000,37.820000|112.460000,37.830000",0,0,0,0,0,0,0,0,0,0,0,2
9,112.455,37.835,"112.450000,37.830000|112.460000,37.840000",0,0,0,0,1,0,0,0,0,0,0,0
10,112.455,37.845,"112.450000,37.840000|112.460000,37.850000",2,14,0,0,12,5,9,3,6,7,0,10
11,112.455,37.855,"112.450000,37.850000|112.460000,37.860000",4,32,3,4,138,1,62,31,30,22,0,43
12,112.455,37.865,"112.450000,37.860000|112.460000,37.870000",1,1,0,0,14,0,3,2,4,0,0,5
13,112.455,37.875,"112.450000,37.870000|112.460000,37.880000",4,1,0,0,10,0,3,3,5,0,1,2
14,112.455,37.885,"112.450000,37.880000|112.460000,37.890000",0,4,0,0,17,0,5,7,13,5,0,4
15,112.455,37.895,"112.450000,37.890000|112.460000,37.900000",2,5,0,0,3,0,2,0,5,1,0,6
16,112.455,37.905,"112.450000,37.900000|112.460000,37.910000",0,1,1,0,0,0,0,0,0,8,0,2
19,112.455,37.935,"112.450000,37.930000|112.460000,37.940000",0,0,0,0,0,1,0,0,0,0,0,0
21,112.465,37.755,"112.460000,37.750000|112.470000,37.760000",0,0,0,0,1,2,0,2,2,1,0,3
22,112.465,37.765,"112.460000,37.760000|112.470000,37.770000",0,1,0,0,4,3,1,2,8,4,0,7
23,112.465,37.775,"112.460000,37.770000|112.470000,37.780000",0,2,0,0,3,1,0,0,3,1,0,2
24,112.465,37.785,"112.460000,37.780000|112.470000,37.790000",1,0,0,0,0,0,1,0,4,1,0,0
25,112.465,37.795,"112.460000,37.790000|112.470000,37.800000",0,0,0,0,0,0,0,0,1,0,0,0
27,112.465,37.815,"112.460000,37.810000|112.470000,37.820000",0,0,0,0,0,1,0,0,0,2,0,2
28,112.465,37.825,"112.460000,37.820000|112.470000,37.830000",0,0,0,0,0,0,0,0,0,0,0,2
29,112.465,37.835,"112.460000,37.830000|112.470000,37.840000",0,0,0,0,0,0,0,0,0,0,0,7
30,112.465,37.845,"112.460000,37.840000|112.470000,37.850000",5,6,1,0,0,0,2,7,13,4,0,10
31,112.465,37.855,"112.460000,37.850000|112.470000,37.860000",2,17,0,0,100,1,31,17,12,23,0,19
32,112.465,37.865,"112.460000,37.860000|112.470000,37.870000",4,7,1,0,16,0,5,5,6,4,0,10
33,112.465,37.875,"112.460000,37.870000|112.470000,37.880000",0,2,0,0,22,0,3,1,3,5,0,1
34,112.465,37.885,"112.460000,37.880000|112.470000,37.890000",2,5,1,0,16,1,8,0,15,0,0,3
35,112.465,37.895,"112.460000,37.890000|112.470000,37.900000",0,1,0,0,1,3,0,3,4,1,0,7
36,112.465,37.905,"112.460000,37.900000|112.470000,37.910000",0,0,0,0,1,0,0,0,3,2,0,1
41,112.475,37.755,"112.470000,37.750000|112.480000,37.760000",0,0,0,0,0,0,0,1,8,0,0,0
42,112.475,37.765,"112.470000,37.760000|112.480000,37.770000",0,0,0,0,0,0,0,5,1,0,0,0
43,112.475,37.775,"112.470000,37.770000|112.480000,37.780000",0,0,0,0,0,0,0,1,0,1,0,0
44,112.475,37.785,"112.470000,37.780000|112.480000,37.790000",0,3,0,0,0,0,1,0,3,0,0,3
45,112.475,37.795,"112.470000,37.790000|112.480000,37.800000",0,2,0,0,0,0,1,2,1,0,0,3
46,112.475,37.805,"112.470000,37.800000|112.480000,37.810000",0,6,1,0,2,2,2,3,1,3,0,5
47,112.475,37.815,"112.470000,37.810000|112.480000,37.820000",0,1,0,0,0,2,1,0,0,1,0,0
48,112.475,37.825,"112.470000,37.820000|112.480000,37.830000",0,1,0,0,1,0,0,0,0,0,0,2
50,112.475,37.845,"112.470000,37.840000|112.480000,37.850000",5,2,0,0,35,3,4,12,10,19,0,18
51,112.475,37.855,"112.470000,37.850000|112.480000,37.860000",1,24,5,0,215,85,80,28,21,31,0,58
52,112.475,37.865,"112.470000,37.860000|112.480000,37.870000",0,6,4,0,53,6,15,7,14,5,0,33
53,112.475,37.875,"112.470000,37.870000|112.480000,37.880000",5,21,2,0,72,18,28,12,13,14,0,17
54,112.475,37.885,"112.470000,37.880000|112.480000,37.890000",3,8,1,0,70,5,24,21,22,6,0,15
55,112.475,37.895,"112.470000,37.890000|112.480000,37.900000",1,3,0,0,7,0,0,0,1,1,0,1
56,112.475,37.905,"112.470000,37.900000|112.480000,37.910000",0,1,0,0,0,0,0,0,4,0,0,1
57,112.475,37.915,"112.470000,37.910000|112.480000,37.920000",0,0,0,0,0,0,0,0,0,3,0,0
59,112.475,37.935,"112.470000,37.930000|112.480000,37.940000",0,0,0,0,0,0,0,0,1,0,0,2
60,112.475,37.945,"112.470000,37.940000|112.480000,37.950000",0,0,0,0,2,0,0,0,2,0,0,5
61,112.485,37.755,"112.480000,37.750000|112.490000,37.760000",1,2,0,0,0,0,0,2,3,0,0,3
62,112.485,37.765,"112.480000,37.760000|112.490000,37.770000",2,13,1,1,69,5,24,11,31,4,0,5
63,112.485,37.775,"112.480000,37.770000|112.490000,37.780000",6,5,2,0,7,0,3,4,8,1,0,5
64,112.485,37.785,"112.480000,37.780000|112.490000,37.790000",0,3,0,0,6,0,1,0,6,2,1,2
65,112.485,37.795,"112.480000,37.790000|112.490000,37.800000",5,1,0,0,6,2,4,2,8,4,0,4
66,112.485,37.805,"112.480000,37.800000|112.490000,37.810000",1,13,0,0,17,7,14,21,8,15,0,11
67,112.485,37.815,"112.480000,37.810000|112.490000,37.820000",2,10,0,0,13,2,8,3,20,14,0,8
68,112.485,37.825,"112.480000,37.820000|112.490000,37.830000",3,0,0,0,0,0,0,4,4,1,0,4
69,112.485,37.835,"112.480000,37.830000|112.490000,37.840000",0,6,0,0,17,1,7,6,6,9,0,3
70,112.485,37.845,"112.480000,37.840000|112.490000,37.850000",3,2,0,0,16,0,7,17,2,2,0,9
71,112.485,37.855,"112.480000,37.850000|112.490000,37.860000",10,20,5,2,168,14,42,30,12,37,0,71
72,112.485,37.865,"112.480000,37.860000|112.490000,37.870000",6,15,5,0,66,0,12,15,17,8,0,26
73,112.485,37.875,"112.480000,37.870000|112.490000,37.880000",0,13,1,0,156,2,28,25,7,26,0,13
74,112.485,37.885,"112.480000,37.880000|112.490000,37.890000",5,8,0,0,107,2,16,42,8,17,0,14
