省,城市,链接,行政区,小区,均价,地址,lng,lat,gclng,gclat,wgs84lng,wgs84lat,物业类型,权属类别,竣工时间,产权年限,户数,总建筑面积,容积率,绿化率,建筑类型,商圈,水电,停车位,物业费,停车费,车位管理费,物业公司,开发商
山西,太原,https://ty.anjuke.com/community/view/1313077,晋源,田村自建房,900,晋源 - 晋祠 - 歧银线,112.437051,37.663256,112.430668,37.656965,112.424017,37.656117,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 晋祠 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1469535,晋源,新庄村自建房,950,晋源 - 晋祠 - 245县道,112.446881,37.664723,112.440511,37.658391,112.433875,37.657555,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 晋祠 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1672628,阳曲,杨家井村自建房,950,阳曲 - 阳曲城区 - 009乡道,112.486904,38.083335,112.480327,38.077504,112.473747,38.076814,自建房,集体租赁住房和城中村,暂无,其它,暂无,暂无,暂无,暂无,低层, 阳曲城区 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1446581,阳曲,小屯庄自建房,964,阳曲 - 阳曲城区 - 314省道,112.727563,38.079508,112.720982,38.073687,112.714484,38.073091,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 阳曲城区 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1677456,清徐,三关庙街573号自建房,1000,清徐 - 孟封镇 - 241县道,112.408283,37.500855,112.401731,37.494994,112.395087,37.494156,自建房,集体租赁住房和城中村,暂无,其它,暂无,暂无,暂无,暂无,低层, 孟封镇 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1446862,阳曲,北洛阴村自建房,1050,阳曲 - 阳曲城区 - 314省道,112.748469,38.073259,112.741837,38.067589,112.73531,38.066972,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 阳曲城区 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1294192,阳曲,城晋驿村自建房,1092,阳曲 - 阳曲城区 - 108国道,112.720159,38.096795,112.713628,38.090856,112.707143,38.090274,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 阳曲城区 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1281253,阳曲,苏村自建房,1121,阳曲 - 阳曲城区 - 009乡道,112.501159,38.074812,112.49453,38.06913,112.488002,38.068479,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 阳曲城区 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1472303,阳曲,小屯庄村自建房,1142,阳曲 - 阳曲城区 - 三一四省道,112.72646,38.079514,112.719884,38.073676,112.713389,38.073081,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 阳曲城区 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1479572,清徐,柳湾村自建房,1185,清徐 - 西谷乡 - 914县道,112.399528,37.570372,112.392936,37.564632,112.386289,37.563786,暂无,暂无,暂无,70年,暂无,暂无,1.2,暂无,多层, 西谷乡 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1549561,晋源,南张村自建房,1200,晋源 - 晋祠 - 仁义街西巷19号,112.438141,37.673192,112.431755,37.66689,112.425105,37.666043,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 晋祠 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1382371,清徐,小武村自建房,1207,清徐 - 高花乡 - 二零八国道,112.46545,37.495595,112.459002,37.489407,112.452427,37.488624,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 高花乡 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1380680,小店,东柳林村自建房,1214,小店 - 汾东北路 - 208国道,112.48649,37.65839,112.479952,37.652565,112.473422,37.651812,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 汾东北路 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1312898,小店,辛村自建房,1271,小店 - 通达街 - 黄蒲线,112.583834,37.654858,112.577422,37.648656,112.571192,37.648148,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 通达街 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1286133,小店,东里解村自建房,1285,小店 - 汾东北路 - 小牛线,112.470323,37.645012,112.463875,37.63891,112.457296,37.638117,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 汾东北路 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1410524,小店,西里解村自建房,1357,小店 - 汾东北路 - 二四四县道,112.461708,37.648588,112.455305,37.642358,112.448702,37.641547,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 汾东北路 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1385869,小店,刘家堡村自建房,1357,小店 - 汾东北路 - 二长线,112.482434,37.654008,112.475918,37.648117,112.469375,37.647354,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 汾东北路 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1373206,尖草坪,柏板村自建房,1471,尖草坪 - 上兰 - 256县道,112.489267,38.033308,112.482708,38.027521,112.476142,38.026827,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 上兰 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
